Month,Year,Precip
0,1/1/2014,3.14
1,1/1/2014,4.13
2,1/1/2014,5.27
3,1/1/2014,4.27
4,1/1/2014,6.71
5,1/1/2014,3.90
6,1/1/2014,1.17
7,1/1/2014,8.73
8,1/1/2014,6.32
9,1/1/2014,0.02
10,1/1/2014,8.94
11,1/1/2014,2.59
0,1/2/2014,4.31
1,1/2/2014,5.95
2,1/2/2014,2.49
3,1/2/2014,6.64
4,1/2/2014,3.07
5,1/2/2014,5.91
6,1/2/2014,6.00
7,1/2/2014,9.29
8,1/2/2014,6.45
9,1/2/2014,7.83
10,1/2/2014,4.37
11,1/2/2014,5.00
0,1/3/2014,0.76
1,1/3/2014,4.85
2,1/3/2014,7.05
3,1/3/2014,5.02
4,1/3/2014,7.55
5,1/3/2014,0.49
6,1/3/2014,7.74
7,1/3/2014,8.98
8,1/3/2014,9.01
9,1/3/2014,6.03
10,1/3/2014,9.46
11,1/3/2014,3.65
0,1/4/2014,6.14
1,1/4/2014,3.93
2,1/4/2014,8.21
3,1/4/2014,1.21
4,1/4/2014,9.28
5,1/4/2014,0.17
6,1/4/2014,6.31
7,1/4/2014,3.45
8,1/4/2014,0.34
9,1/4/2014,9.46
10,1/4/2014,0.47
11,1/4/2014,9.35
0,1/5/2014,6.06
1,1/5/2014,1.75
2,1/5/2014,8.58
3,1/5/2014,3.31
4,1/5/2014,2.28
5,1/5/2014,5.37
6,1/5/2014,3.42
7,1/5/2014,8.38
8,1/5/2014,9.66
9,1/5/2014,2.02
10,1/5/2014,1.24
11,1/5/2014,3.71
0,1/6/2014,2.45
1,1/6/2014,1.49
2,1/6/2014,8.02
3,1/6/2014,8.44
4,1/6/2014,3.22
5,1/6/2014,9.56
6,1/6/2014,6.44
7,1/6/2014,4.81
8,1/6/2014,8.07
9,1/6/2014,0.54
10,1/6/2014,2.25
11,1/6/2014,1.72
0,1/7/2014,8.91
1,1/7/2014,7.46
2,1/7/2014,9.43
3,1/7/2014,6.20
4,1/7/2014,1.53
5,1/7/2014,6.42
6,1/7/2014,0.00
7,1/7/2014,4.44
8,1/7/2014,0.89
9,1/7/2014,8.54
10,1/7/2014,5.38
11,1/7/2014,5.68
0,1/8/2014,7.88
1,1/8/2014,2.54
2,1/8/2014,3.51
3,1/8/2014,2.33
4,1/8/2014,5.07
5,1/8/2014,3.05
6,1/8/2014,7.74
7,1/8/2014,6.71
8,1/8/2014,2.48
9,1/8/2014,5.39
10,1/8/2014,0.98
11,1/8/2014,0.65
0,1/9/2014,8.17
1,1/9/2014,5.05
2,1/9/2014,1.42
3,1/9/2014,6.82
4,1/9/2014,2.75
5,1/9/2014,1.19
6,1/9/2014,4.12
7,1/9/2014,2.11
8,1/9/2014,1.18
9,1/9/2014,6.98
10,1/9/2014,6.24
11,1/9/2014,1.62
0,1/10/2014,0.23
1,1/10/2014,6.07
2,1/10/2014,2.18
3,1/10/2014,8.84
4,1/10/2014,4.77
5,1/10/2014,3.66
6,1/10/2014,9.07
7,1/10/2014,1.76
8,1/10/2014,1.79
9,1/10/2014,2.59
10,1/10/2014,2.24
11,1/10/2014,6.76
0,1/11/2014,6.52
1,1/11/2014,0.07
2,1/11/2014,5.08
3,1/11/2014,2.47
4,1/11/2014,1.12
5,1/11/2014,7.83
6,1/11/2014,7.33
7,1/11/2014,3.27
8,1/11/2014,2.78
9,1/11/2014,9.40
10,1/11/2014,1.47
11,1/11/2014,7.89
0,1/12/2014,4.63
1,1/12/2014,1.21
2,1/12/2014,7.08
3,1/12/2014,2.01
4,1/12/2014,9.99
5,1/12/2014,0.51
6,1/12/2014,9.20
7,1/12/2014,5.05
8,1/12/2014,7.60
9,1/12/2014,1.96
10,1/12/2014,7.62
11,1/12/2014,0.30
0,1/13/2014,3.06
1,1/13/2014,6.33
2,1/13/2014,0.91
3,1/13/2014,4.55
4,1/13/2014,9.80
5,1/13/2014,9.54
6,1/13/2014,0.25
7,1/13/2014,8.01
8,1/13/2014,0.86
9,1/13/2014,7.45
10,1/13/2014,5.84
11,1/13/2014,7.80
0,1/14/2014,1.53
1,1/14/2014,1.98
2,1/14/2014,0.73
3,1/14/2014,8.74
4,1/14/2014,1.41
5,1/14/2014,7.31
6,1/14/2014,4.65
7,1/14/2014,3.03
8,1/14/2014,4.10
9,1/14/2014,0.27
10,1/14/2014,3.70
11,1/14/2014,6.79
0,1/15/2014,1.62
1,1/15/2014,8.29
2,1/15/2014,0.01
3,1/15/2014,4.67
4,1/15/2014,0.90
5,1/15/2014,8.96
6,1/15/2014,8.98
7,1/15/2014,5.85
8,1/15/2014,9.45
9,1/15/2014,0.13
10,1/15/2014,1.12
11,1/15/2014,3.55
0,1/16/2014,7.95
1,1/16/2014,5.98
2,1/16/2014,9.35
3,1/16/2014,8.02
4,1/16/2014,8.11
5,1/16/2014,4.87
6,1/16/2014,2.65
7,1/16/2014,7.40
8,1/16/2014,5.08
9,1/16/2014,6.87
10,1/16/2014,1.57
11,1/16/2014,3.98
0,1/17/2014,5.24
1,1/17/2014,4.92
2,1/17/2014,1.50
3,1/17/2014,4.08
4,1/17/2014,1.72
5,1/17/2014,1.41
6,1/17/2014,5.20
7,1/17/2014,7.87
8,1/17/2014,1.85
9,1/17/2014,3.33
10,1/17/2014,6.82
11,1/17/2014,2.16
0,1/18/2014,3.42
1,1/18/2014,2.96
2,1/18/2014,5.94
3,1/18/2014,2.88
4,1/18/2014,8.62
5,1/18/2014,7.84
6,1/18/2014,1.62
7,1/18/2014,6.10
8,1/18/2014,8.00
9,1/18/2014,3.25
10,1/18/2014,3.15
11,1/18/2014,5.98
0,1/19/2014,9.67
1,1/19/2014,2.87
2,1/19/2014,6.58
3,1/19/2014,5.73
4,1/19/2014,2.51
5,1/19/2014,8.23
6,1/19/2014,3.21
7,1/19/2014,2.72
8,1/19/2014,6.25
9,1/19/2014,6.03
10,1/19/2014,9.19
11,1/19/2014,2.31
0,1/20/2014,4.93
1,1/20/2014,2.49
2,1/20/2014,3.36
3,1/20/2014,5.71
4,1/20/2014,5.44
5,1/20/2014,8.21
6,1/20/2014,3.88
7,1/20/2014,5.92
8,1/20/2014,6.77
9,1/20/2014,2.91
10,1/20/2014,2.74
11,1/20/2014,2.66
0,1/21/2014,1.41
1,1/21/2014,8.92
2,1/21/2014,1.44
3,1/21/2014,1.20
4,1/21/2014,5.41
5,1/21/2014,4.24
6,1/21/2014,0.22
7,1/21/2014,2.45
8,1/21/2014,9.17
9,1/21/2014,0.91
10,1/21/2014,8.14
11,1/21/2014,1.55
0,1/22/2014,7.54
1,1/22/2014,1.94
2,1/22/2014,0.77
3,1/22/2014,0.24
4,1/22/2014,3.55
5,1/22/2014,0.75
6,1/22/2014,8.04
7,1/22/2014,3.56
8,1/22/2014,7.32
9,1/22/2014,0.21
10,1/22/2014,4.94
11,1/22/2014,5.15
0,1/23/2014,8.21
1,1/23/2014,4.41
2,1/23/2014,3.81
3,1/23/2014,6.78
4,1/23/2014,5.74
5,1/23/2014,5.54
6,1/23/2014,8.19
7,1/23/2014,6.32
8,1/23/2014,2.48
9,1/23/2014,9.44
10,1/23/2014,4.47
11,1/23/2014,5.88
0,1/24/2014,9.79
1,1/24/2014,8.59
2,1/24/2014,9.70
3,1/24/2014,6.03
4,1/24/2014,5.76
5,1/24/2014,7.93
6,1/24/2014,0.69
7,1/24/2014,4.86
8,1/24/2014,2.90
9,1/24/2014,9.81
10,1/24/2014,2.36
11,1/24/2014,0.70
0,1/25/2014,2.37
1,1/25/2014,6.71
2,1/25/2014,0.63
3,1/25/2014,5.73
4,1/25/2014,0.31
5,1/25/2014,6.60
