Month,Year,Precip
0,1900,0.54
1,1900,10.00
2,1900,0.87
3,1900,0.57
4,1900,7.23
5,1900,6.16
6,1900,5.31
7,1900,0.40
8,1900,5.29
9,1900,4.98
10,1900,6.96
11,1900,9.41
0,1901,4.47
1,1901,6.82
2,1901,6.94
3,1901,1.24
4,1901,0.32
5,1901,8.81
6,1901,9.79
7,1901,2.33
8,1901,0.05
9,1901,3.91
10,1901,7.63
11,1901,9.61
0,1902,8.79
1,1902,7.35
2,1902,2.03
3,1902,1.00
4,1902,4.14
5,1902,2.29
6,1902,4.87
7,1902,4.56
8,1902,0.77
9,1902,6.89
10,1902,4.11
11,1902,4.25
0,1903,4.96
1,1903,2.04
2,1903,4.14
3,1903,4.04
4,1903,0.84
5,1903,2.24
6,1903,3.42
7,1903,7.80
8,1903,6.55
9,1903,1.93
10,1903,3.76
11,1903,9.26
0,1904,8.47
1,1904,6.57
2,1904,6.93
3,1904,4.82
4,1904,6.07
5,1904,0.34
6,1904,3.98
7,1904,2.31
8,1904,8.18
9,1904,2.35
10,1904,2.07
11,1904,0.31
0,1905,4.01
1,1905,9.35
2,1905,1.50
3,1905,6.01
4,1905,8.52
5,1905,5.64
6,1905,3.25
7,1905,4.32
8,1905,2.46
9,1905,0.38
10,1905,3.05
11,1905,7.42
0,1906,1.74
1,1906,8.25
2,1906,4.07
3,1906,1.73
4,1906,9.71
5,1906,2.06
6,1906,4.16
7,1906,8.96
8,1906,8.38
9,1906,4.76
10,1906,7.33
11,1906,8.83
0,1907,1.56
1,1907,3.92
2,1907,1.76
3,1907,3.64
4,1907,3.60
5,1907,4.17
6,1907,7.95
7,1907,9.37
8,1907,2.41
9,1907,1.36
10,1907,1.72
11,1907,3.20
0,1908,4.34
1,1908,7.95
2,1908,6.06
3,1908,5.27
4,1908,1.52
5,1908,0.57
6,1908,4.98
7,1908,0.81
8,1908,9.29
9,1908,9.40
10,1908,0.20
11,1908,9.70
0,1909,2.66
1,1909,3.96
2,1909,8.42
3,1909,2.10
4,1909,5.73
5,1909,1.09
6,1909,3.01
7,1909,2.69
8,1909,7.43
9,1909,9.60
10,1909,9.01
11,1909,1.02
0,1910,0.17
1,1910,0.13
2,1910,4.20
3,1910,2.04
4,1910,5.43
5,1910,0.36
6,1910,2.57
7,1910,9.56
8,1910,1.84
9,1910,3.35
10,1910,8.38
11,1910,4.62
0,1911,6.62
1,1911,1.15
2,1911,0.55
3,1911,2.64
4,1911,1.05
5,1911,6.79
6,1911,7.39
7,1911,5.86
8,1911,4.14
9,1911,5.05
10,1911,1.07
11,1911,2.18
0,1912,6.45
1,1912,6.75
2,1912,9.74
3,1912,7.56
4,1912,7.75
5,1912,1.61
6,1912,2.89
7,1912,6.82
8,1912,8.02
9,1912,1.94
10,1912,1.85
11,1912,6.72
0,1913,1.22
1,1913,3.33
2,1913,3.37
3,1913,6.20
4,1913,5.17
5,1913,8.63
6,1913,8.62
7,1913,0.63
8,1913,8.97
9,1913,8.27
10,1913,4.05
11,1913,1.25
0,1914,1.44
1,1914,3.66
2,1914,3.12
3,1914,5.85
4,1914,0.06
5,1914,0.06
6,1914,0.09
7,1914,4.43
8,1914,0.39
9,1914,2.13
10,1914,7.85
11,1914,1.34
0,1915,9.99
1,1915,8.24
2,1915,2.02
3,1915,6.40
4,1915,9.14
5,1915,9.44
6,1915,2.38
7,1915,8.38
8,1915,3.39
9,1915,5.03
10,1915,1.16
11,1915,8.03
0,1916,8.98
1,1916,9.77
2,1916,4.81
3,1916,2.49
4,1916,3.03
5,1916,6.65
6,1916,2.10
7,1916,9.14
8,1916,4.82
9,1916,5.54
10,1916,6.93
11,1916,5.13
0,1917,3.17
1,1917,0.15
2,1917,8.57
3,1917,8.14
4,1917,7.62
5,1917,4.92
6,1917,5.43
7,1917,5.18
8,1917,7.83
9,1917,9.04
10,1917,1.25
11,1917,8.65
0,1918,6.66
1,1918,6.95
2,1918,4.03
3,1918,3.15
4,1918,6.88
5,1918,3.40
6,1918,8.64
7,1918,2.44
8,1918,0.89
9,1918,6.37
10,1918,4.04
11,1918,3.02
0,1919,5.53
1,1919,3.08
2,1919,4.62
3,1919,9.81
4,1919,1.09
5,1919,2.74
6,1919,3.01
7,1919,9.78
8,1919,5.23
9,1919,4.50
10,1919,8.91
11,1919,1.57
