Date,Station,Precipitation
1/1/2016,0,0
1/1/2016,1,0
1/1/2016,2,0
1/2/2016,0,0
1/2/2016,1,0
1/2/2016,2,0
1/3/2016,0,0
1/3/2016,1,0
1/3/2016,2,0
1/4/2016,0,0
1/4/2016,1,0
1/4/2016,2,0
1/5/2016,0,0
1/5/2016,1,0
1/5/2016,2,0
1/6/2016,0,0
1/6/2016,1,0
1/6/2016,2,0
1/7/2016,0,0
1/7/2016,1,0.03
1/7/2016,2,0
1/8/2016,0,0.47
1/8/2016,1,0.45
1/8/2016,2,0.56
1/9/2016,0,0.06
1/9/2016,1,0.01
1/9/2016,2,0.02
1/10/2016,0,0
1/10/2016,1,0
1/10/2016,2,0
1/11/2016,0,0
1/11/2016,1,0
1/11/2016,2,0
1/12/2016,0,0
1/12/2016,1,0
1/12/2016,2,0
1/13/2016,0,0
1/13/2016,1,0
1/13/2016,2,0
1/14/2016,0,0
1/14/2016,1,0
1/14/2016,2,0
1/15/2016,0,0
1/15/2016,1,0
1/15/2016,2,0
1/16/2016,0,0.04
1/16/2016,1,0
1/16/2016,2,0
1/17/2016,0,0
1/17/2016,1,0
1/17/2016,2,0
1/18/2016,0,0
1/18/2016,1,0
1/18/2016,2,0
1/19/2016,0,0.05
1/19/2016,1,0
1/19/2016,2,0
1/20/2016,0,0
1/20/2016,1,0
1/20/2016,2,0
1/21/2016,0,0
1/21/2016,1,0
1/21/2016,2,0
1/22/2016,0,0
1/22/2016,1,0
1/22/2016,2,0
1/23/2016,0,0
1/23/2016,1,0
1/23/2016,2,0
1/24/2016,0,0
1/24/2016,1,0
1/24/2016,2,0
1/25/2016,0,0
1/25/2016,1,0
1/25/2016,2,0
1/26/2016,0,0
1/26/2016,1,0
1/26/2016,2,0
1/27/2016,0,0
1/27/2016,1,0
1/27/2016,2,0
1/28/2016,0,0
1/28/2016,1,0
1/28/2016,2,0
1/29/2016,0,0
1/29/2016,1,0
1/29/2016,2,0
1/30/2016,0,0
1/30/2016,1,0.04
1/30/2016,2,0
1/31/2016,0,0
1/31/2016,1,0.05
1/31/2016,2,0.1
2/1/2016,0,0.4
2/1/2016,1,0.45
2/1/2016,2,0.26
2/2/2016,0,0.95
2/2/2016,1,0.49
2/2/2016,2,1.01
2/3/2016,0,0
2/3/2016,1,0
2/3/2016,2,0.03
2/4/2016,0,0
2/4/2016,1,0
2/4/2016,2,0
2/5/2016,0,0
2/5/2016,1,0
2/5/2016,2,0
2/6/2016,0,0
2/6/2016,1,0
2/6/2016,2,0
2/7/2016,0,0
2/7/2016,1,0
2/7/2016,2,0
2/8/2016,0,0
2/8/2016,1,0
2/8/2016,2,0
2/9/2016,0,0
2/9/2016,1,0
2/9/2016,2,0
2/10/2016,0,0
2/10/2016,1,0
2/10/2016,2,0
2/11/2016,0,0
2/11/2016,1,0
2/11/2016,2,0
2/12/2016,0,0
2/12/2016,1,0
2/12/2016,2,0
2/13/2016,0,0
2/13/2016,1,0
2/13/2016,2,0
2/14/2016,0,0
2/14/2016,1,0
2/14/2016,2,0
2/15/2016,0,0
2/15/2016,1,0
2/15/2016,2,0
2/16/2016,0,0
