Date,Station,Precip
1/1/2016,0,9.14
1/1/2016,1,0.36
1/1/2016,2,9.98
1/1/2016,3,3.69
1/1/2016,4,9.04
1/1/2016,5,2.01
1/1/2016,6,1.89
1/1/2016,7,9.7
1/1/2016,8,3.83
1/2/2016,0,0.32
1/2/2016,1,1.25
1/2/2016,2,8.03
1/2/2016,3,4.77
1/2/2016,4,4.24
1/2/2016,5,1.11
1/2/2016,6,9.85
1/2/2016,7,9.78
1/2/2016,8,1.95
1/3/2016,0,7.31
1/3/2016,1,5.7
1/3/2016,2,3.15
1/3/2016,3,9.97
1/3/2016,4,4.12
1/3/2016,5,6.31
1/3/2016,6,3.44
1/3/2016,7,6
1/3/2016,8,2.88
1/4/2016,0,1.53
1/4/2016,1,5.13
1/4/2016,2,6.08
1/4/2016,3,5.81
1/4/2016,4,4.14
1/4/2016,5,0.46
1/4/2016,6,7.07
1/4/2016,7,9.97
1/4/2016,8,8.39
1/5/2016,0,5.56
1/5/2016,1,4.71
1/5/2016,2,0.94
1/5/2016,3,1.38
1/5/2016,4,8.7
1/5/2016,5,6.22
1/5/2016,6,1.86
1/5/2016,7,6.82
1/5/2016,8,9.44
1/6/2016,0,3.85
1/6/2016,1,0.96
1/6/2016,2,6.58
1/6/2016,3,4.22
1/6/2016,4,2.28
1/6/2016,5,0.07
1/6/2016,6,5.41
1/6/2016,7,8.11
1/6/2016,8,8.75
1/7/2016,0,7.31
1/7/2016,1,8.27
1/7/2016,2,2.22
1/7/2016,3,9.23
1/7/2016,4,9.34
1/7/2016,5,7.28
1/7/2016,6,3.62
1/7/2016,7,7.85
1/7/2016,8,2.62
1/8/2016,0,8.09
1/8/2016,1,7.58
1/8/2016,2,9.77
1/8/2016,3,8.47
1/8/2016,4,0.85
1/8/2016,5,2.22
1/8/2016,6,9.42
1/8/2016,7,3.69
1/8/2016,8,1.77
1/9/2016,0,2.08
1/9/2016,1,7.16
1/9/2016,2,7.14
1/9/2016,3,5.24
1/9/2016,4,0.17
1/9/2016,5,7.43
1/9/2016,6,2.79
1/9/2016,7,4.76
1/9/2016,8,7.81
1/10/2016,0,0.44
1/10/2016,1,1.4
1/10/2016,2,3.5
1/10/2016,3,7.74
1/10/2016,4,7.9
1/10/2016,5,6.21
1/10/2016,6,1.78
1/10/2016,7,8.82
1/10/2016,8,0.25
1/11/2016,0,3.07
1/11/2016,1,8.93
1/11/2016,2,9.79
1/11/2016,3,9.27
1/11/2016,4,1.4
1/11/2016,5,2.08
1/11/2016,6,5.78
1/11/2016,7,5.32
1/11/2016,8,0.73
1/12/2016,0,2.72
